,SPY,QQQ,TLT,GLD,USO
2006-01-03,87.00091552734375,35.273765563964844,47.85978698730469,53.119998931884766,544.1599731445312
2006-01-04,87.41291809082031,35.64094161987305,47.97450637817383,53.29999923706055,544.1599731445312
2006-01-05,87.46782684326172,35.794620513916016,47.917137145996094,52.34000015258789,544.1599731445312
2006-01-06,88.1957015991211,36.44357681274414,47.8284797668457,53.720001220703125,544.1599731445312
2006-01-09,88.42232513427734,36.5887336730957,47.85978698730469,54.599998474121094,544.1599731445312
2006-01-10,88.51158142089844,36.61434555053711,47.4738883972168,54.060001373291016,544.1599731445312
2006-01-11,88.79310607910156,36.896114349365234,47.395660400390625,54.529998779296875,544.1599731445312
2006-01-12,88.44292449951172,36.716800689697266,47.7137336730957,54.43000030517578,544.1599731445312
2006-01-13,88.3604736328125,36.69972229003906,47.99013137817383,55.439998626708984,544.1599731445312
2006-01-17,88.12019348144531,36.46065902709961,48.203948974609375,55.2599983215332,544.1599731445312
2006-01-18,87.76998138427734,36.04225158691406,48.18829345703125,54.06999969482422,544.1599731445312
2006-01-19,88.10650634765625,36.306976318359375,48.047508239746094,55.59000015258789,544.1599731445312
2006-01-20,86.4996566772461,35.2225227355957,48.17261505126953,55.20000076293945,544.1599731445312
2006-01-23,86.80870056152344,35.23106384277344,48.15695571899414,55.77000045776367,544.1599731445312
2006-01-24,86.89789581298828,35.38475036621094,47.92233657836914,55.72999954223633,544.1599731445312
2006-01-25,86.97345733642578,35.23106384277344,47.40089416503906,56.13999938964844,544.1599731445312
2006-01-26,87.4541244506836,35.47870635986328,47.19747543334961,55.880001068115234,544.1599731445312
2006-01-27,88.26437377929688,35.956878662109375,47.19747543334961,55.630001068115234,544.1599731445312
2006-01-30,88.1957015991211,36.02519226074219,47.15054702758789,56.68000030517578,544.1599731445312
2006-01-31,87.55024719238281,35.86295700073242,47.28095245361328,56.70000076293945,544.1599731445312
2006-02-01,88.1613998413086,35.99102020263672,47.119232177734375,56.70000076293945,544.1599731445312
2006-02-02,87.13824462890625,35.376224517822266,47.208213806152344,56.97999954223633,544.1599731445312
2006-02-03,86.70565795898438,34.94073486328125,47.54311752319336,56.5,544.1599731445312
2006-02-06,86.93226623535156,34.84683609008789,47.637325286865234,56.720001220703125,544.1599731445312
2006-02-07,86.16317749023438,34.69313049316406,47.41227722167969,54.599998474121094,544.1599731445312
2006-02-08,86.94598388671875,35.09444808959961,47.30242156982422,54.83000183105469,544.1599731445312
2006-02-09,86.80180358886719,34.76144027709961,47.51694869995117,56.18000030517578,544.1599731445312
2006-02-10,86.95974731445312,34.97490692138672,47.25531005859375,54.790000915527344,544.1599731445312
2006-02-13,86.80180358886719,34.57358169555664,47.260498046875,53.720001220703125,544.1599731445312
