Model,RMSE,MAE,R2
Random Forest,0.08567394116374051,0.05961491615812912,0.13873966850881658
XGBoost,0.09555907014887807,0.0731949433684349,-0.07147181034088135
LightGBM,0.09557912486126931,0.07173620268521705,-0.07192167475266653
