Model,RMSE,MAE,R2
XGBoost,0.07485785250074635,0.04783174498483273,0.34247589123252054
LightGBM,0.0771126806225861,0.0490581750221376,0.3022681401322028
Random Forest,0.07130197183791386,0.046273162884362055,0.40345936272105054
