Model,Train_RMSE,Test_RMSE,Test_R2
XGBoost,0.021747137779981864,0.09555907014887807,-0.07147181034088135
LightGBM,0.02389721762082435,0.09557912486126931,-0.07192167475266653
Random Forest,0.037851771470904606,0.08567394116374051,0.13873966850881658
