,Strategy,Buy_Hold,Excess
2006-10-31,0.010721146284399907,0.006942453122488201,0.003778693161911706
2006-11-30,0.02120635293599671,0.019885410776182777,0.0013209421598139315
2006-12-31,0.014184527771173627,0.013371223697167034,0.0008133040740065933
2007-01-31,0.016164095995966354,0.015040049102063247,0.0011240468939031079
2007-02-28,-0.021177627535423627,-0.019616931928116976,-0.0015606956073066502
2007-03-31,0.013078476393582061,0.011588634515011131,0.00148984187857093
2007-04-30,0.046666224321392225,0.04429562237219242,0.002370601949199802
2007-05-31,0.035670561728400996,0.03392047130287934,0.0017500904255216554
2007-06-30,-0.014972169788739609,-0.014620703027746651,-0.0003514667609929578
2007-07-31,-0.032798643099402836,-0.03131014501259177,-0.001488498086811063
2007-08-31,0.013764321566703819,0.012832549396694759,0.0009317721700090598
2007-09-30,0.04150682019487073,0.038714357669620725,0.0027924625252500057
2007-10-31,0.014432187961522791,0.013566588049542805,0.0008655999119799862
2007-11-30,-0.0415581296870946,-0.038732886920666565,-0.0028252427664280377
2007-12-31,-0.012349287158333722,-0.011260603309831585,-0.0010886838485021366
2008-01-31,-0.0655694159413921,-0.0604610880028813,-0.005108327938510793
2008-02-29,-0.028765480345079864,-0.025842739383708846,-0.0029227409613710176
2008-03-31,-0.00954335053232691,-0.008941914296769604,-0.0006014362355573066
2008-04-30,0.051540138366710675,0.04766215695826914,0.003877981408441533
2008-05-31,0.015934058731129186,0.015116657262874034,0.0008174014682551523
2008-06-30,-0.08972051567314887,-0.08357580602265868,-0.006144709650490188
2008-07-31,-0.010278754396860545,-0.008985774443586614,-0.0012929799532739317
2008-08-31,0.016711879735555657,0.015453560715058101,0.0012583190204975558
2008-09-30,-0.10274798722217948,-0.09417343308682036,-0.008574554135359125
2008-10-31,-0.18200967672201718,-0.16518676537887345,-0.01682291134314373
2008-11-30,-0.07437825722357727,-0.06960627438066469,-0.004771982842912581
2008-12-31,0.010171520365937159,0.009796343547367359,0.0003751768185698001
2009-01-31,-0.08810115193420243,-0.08211488429206248,-0.005986267642139942
2009-02-28,-0.11549436866377938,-0.10744878301089567,-0.008045585652883713
2009-03-31,0.08978947350599742,0.08331086756036021,0.006478605945637206
